Date,Open,High,Low,Close,Volume
09/27/2016,130.29,131.74,129.86,131.32,"1,939,020"
09/26/2016,131.07,131.58,130.43,130.57,"2,219,885"
09/23/2016,131.25,132.29,131.01,131.78,"2,330,320"
09/22/2016,131.45,132.48,131.17,131.87,"3,252,493"
09/21/2016,128.18,130.63,128.18,130.56,"3,227,143"
09/20/2016,127.95,128.50,127.57,127.79,"2,639,279"
09/19/2016,127.50,128.30,127.27,127.48,"3,168,098"
09/16/2016,127.71,127.71,126.34,126.70,"8,035,566"
09/15/2016,127.57,128.46,126.94,127.77,"3,476,584"
09/14/2016,128.91,129.31,127.34,127.67,"3,955,402"
09/13/2016,129.22,130.02,128.26,128.76,"4,552,291"
09/12/2016,126.88,130.68,126.31,130.12,"6,380,662"
09/09/2016,131.94,131.94,128.52,128.53,"4,892,603"
09/08/2016,132.32,132.91,131.51,132.90,"2,618,277"
09/07/2016,132.48,133.08,132.00,132.64,"2,198,386"
09/06/2016,131.63,132.99,131.27,132.99,"4,151,796"
09/05/2016,131.16,131.16,131.16,131.16,"0,000"
09/02/2016,130.89,131.96,130.58,131.16,"2,631,047"
09/01/2016,130.03,130.03,128.36,129.90,"2,807,237"
08/31/2016,130.83,130.83,129.14,129.45,"3,639,013"
08/30/2016,133.19,133.44,130.68,130.81,"3,437,290"
08/29/2016,132.72,133.58,132.32,132.90,"2,380,035"
08/26/2016,133.50,134.08,131.82,132.23,"1,973,740"
08/25/2016,133.30,133.30,132.42,132.98,"1,921,322"
08/24/2016,134.01,134.65,133.07,133.29,"2,135,910"
08/23/2016,135.32,136.37,133.64,134.14,"3,481,863"
08/22/2016,134.30,135.67,133.84,134.99,"2,520,722"
08/19/2016,134.50,135.00,133.84,134.44,"1,922,645"
08/18/2016,134.72,135.96,134.53,135.00,"2,030,826"
08/17/2016,134.85,134.99,134.11,134.72,"2,854,630"
08/16/2016,134.15,135.21,133.40,135.00,"2,759,136"
08/15/2016,133.70,135.00,133.55,134.66,"2,812,634"
08/12/2016,132.90,133.78,132.63,133.10,"2,522,523"
08/11/2016,132.85,133.56,132.30,133.00,"2,275,674"
08/10/2016,132.10,133.53,131.71,132.28,"2,642,249"
